question,answer
"What is Tridosha?","Tridosha refers to the three doshas: Vata, Pitta, and Kapha which govern the body functions."
"What is Agni in Ayurveda?","Agni is the digestive fire responsible for digestion and metabolism."
"What is Ama?","Ama is toxic residue formed due to incomplete digestion."
"What is Panchakarma?","Panchakarma is a cleansing and detoxification therapy with five main procedures."
"Which dosha increases in winter?","Generally Kapha dosha tends to increase in late winter."
question,answer
"What are the main aims of Ayurveda?","The main aims of Ayurveda are to maintain health of the healthy and to cure disease in the sick."
"What are the Panchamahabhutas?","Panchamahabhutas are the five elements: Prithvi, Jala, Agni, Vayu, and Akasha."
"What is the meaning of Ayurveda?","Ayurveda means the science of life, focusing on health, longevity and harmony."
"What is Tridosha theory?","Tridosha theory describes three biological energies—Vata, Pitta, Kapha—that govern body functions."
"What are the qualities of Vata dosha?","Vata is light, dry, cold, mobile, rough, and governs movement."
"What are the qualities of Pitta dosha?","Pitta is hot, sharp, oily, light, and governs metabolism and transformation."
"What are the qualities of Kapha dosha?","Kapha is heavy, slow, cool, oily, stable, and provides structure and lubrication."
"What is the concept of Prakriti?","Prakriti is an individual's unique constitution formed at conception."
"What is Vikriti in Ayurveda?","Vikriti is the current imbalance or deviation from one's natural constitution."
"What is the concept of Sattva, Rajas, and Tamas?","These are the three Gunas representing purity, activity, and inertia that influence the mind."
"What are the Sapta Dhatus?","Sapta Dhatus are Rasa, Rakta, Mamsa, Meda, Asthi, Majja, and Shukra."
"What is Rasa Dhatu?","Rasa Dhatu nourishes the entire body and is formed immediately after digestion."
"What is Rakta Dhatu?","Rakta Dhatu is blood tissue responsible for oxygenation and vitality."
"What is Mamsa Dhatu?","Mamsa Dhatu forms muscle tissue and provides strength and structure."
"What is Meda Dhatu?","Meda Dhatu is adipose or fat tissue providing lubrication and insulation."
"What is Ashti Dhatu?","Ashti Dhatu is bone tissue providing structure and stability."
"What is Majja Dhatu?","Majja Dhatu forms bone marrow and nervous tissue."
"What is Shukra Dhatu?","Shukra Dhatu is reproductive tissue responsible for vitality and reproduction."
"What are the main Malas?","The main Malas are Purisha (stool), Mutra (urine), and Sweda (sweat)."
"What is the function of Ojas?","Ojas is the essence of all Dhatus providing immunity, strength, and vitality."
"What is Agni?","Agni is the digestive fire responsible for digestion and metabolism."
"What are the types of Agni?","There are 13 types of Agni including Jatharagni, Bhutagni, and Dhatvagni."
"What is Jatharagni?","Jatharagni is the main digestive fire located in the stomach and duodenum."
"What happens when Agni is imbalanced?","Imbalanced Agni leads to indigestion, toxins, weak immunity, and metabolic disorders."
"What is Ama?","Ama is toxic residue formed due to improper digestion."
"What causes Ama formation?","Weak Agni, overeating, incompatible foods, and stress cause Ama formation."
"What are the signs of Ama in the body?","Signs include coated tongue, heaviness, fatigue, gas, and foul-smelling stool."
"How to improve Agni naturally?","You can improve Agni with warm foods, spices like ginger, regular meals, and avoiding overeating."
"What is Panchakarma?","Panchakarma is a five-step detoxification and purification therapy."
"What are the five karmas in Panchakarma?","The five karmas are Vamana, Virechana, Basti, Nasya, and Raktamokshana."
"What is Vamana therapy?","Vamana is therapeutic emesis used to eliminate excess Kapha."
"What is Virechana therapy?","Virechana is therapeutic purgation used to expel excess Pitta."
"What is Basti therapy?","Basti is medicated enema used mainly to balance Vata dosha."
"What is Nasya therapy?","Nasya involves administering herbal oils or medicines through the nose."
"What is Raktamokshana therapy?","Raktamokshana is bloodletting therapy used to remove vitiated blood."
"What is Abhyanga massage?","Abhyanga is full-body oil massage used for nourishment, relaxation, and balancing doshas."
"What is Swedana therapy?","Swedana is sudation or sweating therapy to relieve stiffness and toxins."
"What is Shirodhara?","Shirodhara is a therapy where warm liquid is poured over the forehead to calm the mind."
"What is the Ayurvedic view of fever (Jvara)?","Fever is caused by aggravated doshas blocking the channels and affecting Agni."
"What dosha imbalance causes acidity?","Acidity is primarily caused by aggravated Pitta dosha."
"What dosha imbalance causes constipation?","Constipation is mainly due to aggravated Vata dosha."
"What dosha imbalance leads to skin diseases?","Skin diseases often involve aggravated Pitta and Rakta."
"What is the Ayurvedic explanation for insomnia?","Insomnia is caused by aggravated Vata or decreased Ojas."
"What is Prameha in Ayurveda?","Prameha refers to urinary disorders, including diabetes-like conditions."
"What is Grahani disease?","Grahani is a digestive disorder caused by weak Agni and improper digestion."
"What is Sandhivata?","Sandhivata is osteoarthritis caused by aggravated Vata in joints."
"What is Dinacharya?","Dinacharya is daily routine practices for health and balance."
"What is Ritucharya?","Ritucharya is seasonal regimen for maintaining dosha balance."
"What is the ideal waking time according to Ayurveda?","Brahma Muhurta, around 4:30–5:30 AM, is the ideal waking time."
"What is the importance of Nasya in daily routine?","Nasya cleanses nasal passages, improves senses, and strengthens Prana."
"What foods aggravate Vata dosha?","Cold, dry, raw, and light foods aggravate Vata dosha."
"What foods pacify Pitta dosha?","Cooling, sweet, bitter, and astringent foods pacify Pitta."
"What foods increase Kapha dosha?","Heavy, oily, sweet, and cold foods increase Kapha."
"What is the concept of Mind-Body balance in Ayurveda?","Mind-body balance is maintaining harmony among doshas, gunas, lifestyle, and mental state."
